key_droid	key_apple	base_value	lang_value	base_note	lang_note
back_to_today	dateBackButtonTitle	Back to today	Voltar para hoje	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Hoje	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes	Tamanhos da Porção	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Tipos	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porções	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Leguminosas	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ xícara de hummus ou patê de feijão		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ xícara de feijão, ervilha, lentilha, tofu ou tempê cozidos		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 xícara de ervilha fresca ou lentilha germinada		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g de hummus ou patê de feijão		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g de feijão, ervilha, lentilha, tofu ou tempê cozidos		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g de ervilha fresca ou lentilha germinada		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Feijão preto		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Feijão frade		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Feijão branco (lima)		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Feijão branco (cannellini)		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Grão-de-bico		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Ervilha inglesa		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Feijão branco (great northern)		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Feijão vermelho grande		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentilha (variedades beluga, francesa e vermelha)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Feijão branco (navy)		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Feijão catarino		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Feijão vermelho pequeno		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Ervilha seca partida (amarela ou verde)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Bagas	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ xícara de bagas frescas ou congeladas		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ xícara de bagas secas		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g de bagas frescas ou congeladas		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g de bagas secas		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Açaí		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Berberis		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Amora		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Mirtilo		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cereja (doces ou azedas)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Uva Concord		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Arando		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquat		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Amora (de árvore)		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Framboesa (preta ou vermelha)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Morango		
beverages	dozeBeverages.heading	Beverages	Bebidas	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Um copo (12 onças)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Um copo (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Chá preto		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chá chai		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Infusão de camomila com baunilha		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Café		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Chá Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Chá verde		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Infusão de hibisco		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Chocolate quente		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Chá verde com aroma de jasmim		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Infusão de erva-cidreira		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Chá matcha		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Chá oolong com aroma de amêndoas		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Infusão de hortelã		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Infusão de rooibos		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Água		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Chá branco		
exercise	dozeExercise.heading	Exercise	Exercício	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minutos de atividade com intensidade moderada		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minutos de atividade com intensidade vigorosa		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minutos de atividade com intensidade moderada		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minutos de atividade com intensidade vigorosa		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Ciclismo		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Canoagem		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Dança		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Jogo do mata		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Esqui alpino		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Esgrima		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Caminhada		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Tarefas domésticas		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Patinagem no gelo		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Patinagem em linha		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Malabarismo		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Pular no trampolim		
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	Remo		
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee	Jogo de frisbee		
food_info_types_exercise.14	dozeExercise.Variety.Text.14	Roller-skating	Patinagem		
food_info_types_exercise.15	dozeExercise.Variety.Text.15	Shooting baskets	Arremesso na cesta de basquete		
food_info_types_exercise.16	dozeExercise.Variety.Text.16	Shoveling light snow	Remover neve leve		
food_info_types_exercise.17	dozeExercise.Variety.Text.17	Skateboarding	Andar de skate		
food_info_types_exercise.18	dozeExercise.Variety.Text.18	Snorkeling	Mergulho com snorkel		
food_info_types_exercise.19	dozeExercise.Variety.Text.19	Surfing	Surf		
food_info_types_exercise.20	dozeExercise.Variety.Text.20	Swimming recreationally	Natação recreacional		
food_info_types_exercise.21	dozeExercise.Variety.Text.21	Tennis (doubles)	Ténis (em duplas)		
food_info_types_exercise.22	dozeExercise.Variety.Text.22	Treading water	Caminhada na água		
food_info_types_exercise.23	dozeExercise.Variety.Text.23	Walking briskly (4 mph)	Andar rapidamente (6,4 km/h)		
food_info_types_exercise.24	dozeExercise.Variety.Text.24	Water aerobics	Aeróbica aquática		
food_info_types_exercise.25	dozeExercise.Variety.Text.25	Waterskiing	Esqui aquático		
food_info_types_exercise.26	dozeExercise.Variety.Text.26	Yard work	Jardinagem		
food_info_types_exercise.27	dozeExercise.Variety.Text.27	Yoga	Ioga		
food_info_types_exercise.28	dozeExercise.Variety.Text.28	Backpacking	Caminhada com mochila		
food_info_types_exercise.29	dozeExercise.Variety.Text.29	Basketball	Basquete		
food_info_types_exercise.30	dozeExercise.Variety.Text.30	Bicycling uphill	Ciclismo em subida		
food_info_types_exercise.31	dozeExercise.Variety.Text.31	Circuit weight training	Treinos com pesos em circuito		
food_info_types_exercise.32	dozeExercise.Variety.Text.32	Cross-country skiing	Esqui de fundo		
food_info_types_exercise.33	dozeExercise.Variety.Text.33	Football	Futebol americano		
food_info_types_exercise.34	dozeExercise.Variety.Text.34	Hockey	Hóquei		
food_info_types_exercise.35	dozeExercise.Variety.Text.35	Jogging	Corrida		
food_info_types_exercise.36	dozeExercise.Variety.Text.36	Jumping jacks	Polichinelo		
food_info_types_exercise.37	dozeExercise.Variety.Text.37	Jumping rope	Saltar à corda		
food_info_types_exercise.38	dozeExercise.Variety.Text.38	Lacrosse	Lacrosse		
food_info_types_exercise.39	dozeExercise.Variety.Text.39	Push-ups	Flexões de braço		
food_info_types_exercise.40	dozeExercise.Variety.Text.40	Pull-ups	Flexões de braços em barra fixa (pull-ups)		
food_info_types_exercise.41	dozeExercise.Variety.Text.41	Racquetball	Raquetebol		
food_info_types_exercise.42	dozeExercise.Variety.Text.42	Rock climbing	Escalada		
food_info_types_exercise.43	dozeExercise.Variety.Text.43	Rugby	Rugby		
food_info_types_exercise.44	dozeExercise.Variety.Text.44	Running	Corrida		
food_info_types_exercise.45	dozeExercise.Variety.Text.45	Scuba diving	Mergulho		
food_info_types_exercise.46	dozeExercise.Variety.Text.46	Tennis (singles)	Tênis (individual)		
food_info_types_exercise.47	dozeExercise.Variety.Text.47	Soccer	Futebol		
food_info_types_exercise.48	dozeExercise.Variety.Text.48	Speed skating	Patinação em alta velocidade		
food_info_types_exercise.49	dozeExercise.Variety.Text.49	Squash	Squash		
food_info_types_exercise.50	dozeExercise.Variety.Text.50	Step aerobics	Aeróbica de step		
food_info_types_exercise.51	dozeExercise.Variety.Text.51	Swimming laps	Natação - voltas à piscina		
food_info_types_exercise.52	dozeExercise.Variety.Text.52	Walking briskly uphill	Andar rapidamente em subida		
food_info_types_exercise.53	dozeExercise.Variety.Text.53	Water jogging	Corrida na água		
flaxseeds	dozeFlaxseeds.heading	Flaxseeds	Linhaça	heading for daily data entry item	
