key_droid	key_apple	base_value	lang_value	base_comment
exercise	dozeExercise	Exercise	Exercício	
spices	dozeSpices	Herbs and Spices	Ervas e especiarias	
beverages	dozeBeverages	Beverages	Bebidas	
greens	dozeGreens	Greens	Verduras	
nuts	dozeNuts	Nuts and Seeds	Nozes e sementes	
other_fruits	dozeFruitsOther	Other Fruits	Outras frutas	
beans	dozeBeans	Beans	Feijões	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Vegetais crucíferos	
other_vegetables	dozeVegetablesOther	Other Vegetables	Outros vegetais	
berries	dozeBerries	Berries	Bagas	
flaxseeds	dozeFlaxseeds	Flaxseeds	Sementes de linhaça	
vitamin_b12	otherVitaminB12	Vitamin B12	Vitamina B12	
whole_grains	dozeWholeGrains	Whole Grains	Grãos integrais	
food_info_serving_sizes_berries[imperial][0]	dozeBerriesServing[imperial][0]	½ cup fresh or frozen	½ chávena de bagas frescas ou congeladas	  
food_info_serving_sizes_berries[metric][0]	dozeBerriesServing[metric][0]	60 g fresh or frozen	60 g de bagas frescas ou congeladas	  
food_info_serving_sizes_berries[imperial][1]	dozeBerriesServing[imperial][1]	¼ cup dried	¼ chávena de bagas secas	  
food_info_serving_sizes_berries[metric][1]	dozeBerriesServing[metric][1]	40 g dried	40 g de bagas secas	  
food_info_serving_sizes_greens[imperial][0]	dozeGreensServing[imperial][0]	1 cup raw	1 chávena de verduras cruas	  
food_info_serving_sizes_greens[metric][0]	dozeGreensServing[metric][0]	60 g raw	60 g de verduras cruas	  
food_info_serving_sizes_greens[imperial][1]	dozeGreensServing[imperial][1]	½ cup cooked	½ chávena de verduras cozidas	  
food_info_serving_sizes_greens[metric][1]	dozeGreensServing[metric][1]	90 g cooked	90 g de verduras cozidas	  
food_info_serving_sizes_beans[imperial][0]	dozeBeansServing[imperial][0]	¼ cup of hummus or bean dip	¼ chávena de hummus ou molho de feijão	  
food_info_serving_sizes_beans[metric][0]	dozeBeansServing[metric][0]	60 g of hummus or bean dip	60 g de hummus ou molho de feijão	  
food_info_serving_sizes_beans[imperial][1]	dozeBeansServing[imperial][1]	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ chávena de feijões cozidos, ervilhas partidas, lentilhas, tofu ou tempeh	  
food_info_serving_sizes_beans[metric][1]	dozeBeansServing[metric][1]	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g de feijões cozidos, ervilhas partidas, lentilhas, tofu ou tempeh	  
food_info_serving_sizes_beans[imperial][2]	dozeBeansServing[imperial][2]	1 cup of fresh peas or sprouted lentils	1 chávena de ervilhas frescas ou lentilhas germinadas	  
food_info_serving_sizes_beans[metric][2]	dozeBeansServing[metric][2]	150 g of fresh peas or sprouted lentils	150 g de ervilhas frescas ou lentilhas germinadas	  
food_info_serving_sizes_flaxseeds[imperial][0]	dozeFlaxseedsServing[imperial][0]	1 tablespoon ground	1 colher de sopa (moída/triturada)	  
food_info_serving_sizes_flaxseeds[metric][0]	dozeFlaxseedsServing[metric][0]	1 tablespoon ground	1 colher de sopa (moída/triturada)	  
food_info_serving_sizes_exercise[imperial][0]	dozeExerciseServing[imperial][0]	90 minutes of moderate-intensity activity	90 minutos de atividade de intensidade moderada	  
food_info_serving_sizes_exercise[metric][0]	dozeExerciseServing[metric][0]	90 minutes of moderate-intensity activity	90 minutos de atividade de intensidade moderada	  
food_info_serving_sizes_exercise[imperial][1]	dozeExerciseServing[imperial][1]	40 minutes of vigorous-intensity activity	40 minutos de atividade de intensidade vigorosa	  
food_info_serving_sizes_exercise[metric][1]	dozeExerciseServing[metric][1]	40 minutes of vigorous-intensity activity	40 minutos de atividade de intensidade vigorosa	  
food_info_serving_sizes_whole_grains[imperial][0]	dozeWholeGrainsServing[imperial][0]	½ cup hot cereal or cooked grains, pasta, or corn kernels	½ chávena de cereais quentes ou grãos cozidos, massas ou grãos de milho	  
food_info_serving_sizes_whole_grains[metric][0]	dozeWholeGrainsServing[metric][0]	100 g hot cereal or cooked grains, pasta, or corn kernels	100 g de cereais quentes ou grãos cozidos, massas ou grãos de milho	  
food_info_serving_sizes_whole_grains[imperial][1]	dozeWholeGrainsServing[imperial][1]	1 cup cold cereal	1 chávena de cereais frios	  
food_info_serving_sizes_whole_grains[metric][1]	dozeWholeGrainsServing[metric][1]	50 g cold cereal	50 g de cereais frios	  
food_info_serving_sizes_whole_grains[imperial][2]	dozeWholeGrainsServing[imperial][2]	1 tortilla or slice of bread	1 tortilha ou fatia de pão	  
food_info_serving_sizes_whole_grains[metric][2]	dozeWholeGrainsServing[metric][2]	1 tortilla or slice of bread	1 tortilha ou fatia de pão	  
food_info_serving_sizes_whole_grains[imperial][3]	dozeWholeGrainsServing[imperial][3]	½ a bagel or English muffin	½ bagel ou muffin Inglês	  
food_info_serving_sizes_whole_grains[metric][3]	dozeWholeGrainsServing[metric][3]	½ a bagel or English muffin	½ bagel ou muffin Inglês	  
food_info_serving_sizes_whole_grains[imperial][4]	dozeWholeGrainsServing[imperial][4]	3 cups popped popcorn	3 chávenas de pipocas abertas	  
food_info_serving_sizes_whole_grains[metric][4]	dozeWholeGrainsServing[metric][4]	30 g popped popcorn	30 g de pipocas abertas	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Um copo (340 g (12 onças))	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Um copo (350 ml)	  
food_info_serving_sizes_nuts[imperial][0]	dozeNutsServing[imperial][0]	¼ cup nuts or seeds	¼ chávena de nozes e sementes	  
food_info_serving_sizes_nuts[metric][0]	dozeNutsServing[metric][0]	30 g nuts or seeds	30 g de nozes e sementes	  
food_info_serving_sizes_nuts[imperial][1]	dozeNutsServing[imperial][1]	2 tablespoons nut or seed butter	2 colheres de sopa de manteiga/pasta de nozes ou sementes	  
food_info_serving_sizes_nuts[metric][1]	dozeNutsServing[metric][1]	2 tablespoons nut or seed butter	2 colheres de sopa de manteiga/pasta de nozes ou sementes	  
food_info_serving_sizes_other_fruits[imperial][0]	dozeFruitsOtherServing[imperial][0]	1 medium-sized fruit	1 fruta de tamanho médio	  
food_info_serving_sizes_other_fruits[metric][0]	dozeFruitsOtherServing[metric][0]	1 medium-sized fruit	1 fruta de tamanho médio	  
food_info_serving_sizes_other_fruits[imperial][1]	dozeFruitsOtherServing[imperial][1]	1 cup cut-up fruit	1 chávena de fruta cortada	  
food_info_serving_sizes_other_fruits[metric][1]	dozeFruitsOtherServing[metric][1]	120 g cut-up fruit	120 g de fruta cortada	  
food_info_serving_sizes_other_fruits[imperial][2]	dozeFruitsOtherServing[imperial][2]	¼ cup dried fruit	¼ chávena de fruta seca	  
food_info_serving_sizes_other_fruits[metric][2]	dozeFruitsOtherServing[metric][2]	40 g dried fruit	40 g de fruta seca	  
food_info_serving_sizes_cruciferous_vegetables[imperial][0]	dozeVegetablesCruciferousServing[imperial][0]	½ cup chopped	½ chávena de vegetais picados	  
food_info_serving_sizes_cruciferous_vegetables[metric][0]	dozeVegetablesCruciferousServing[metric][0]	30–80 g chopped	30–80 g de vegetais picados	  
food_info_serving_sizes_cruciferous_vegetables[imperial][1]	dozeVegetablesCruciferousServing[imperial][1]	¼ cup Brussels or broccoli sprouts	¼ chávena de rebentos de couve-de-bruxelas ou de brócolos	  
food_info_serving_sizes_cruciferous_vegetables[metric][1]	dozeVegetablesCruciferousServing[metric][1]	12 g Brussels or broccoli sprouts	12 g de rebentos de couve-de-bruxelas ou de brócolos	  
food_info_serving_sizes_cruciferous_vegetables[imperial][2]	dozeVegetablesCruciferousServing[imperial][2]	1 tablespoon horseradish	1 colher de sopa de rábano	  
food_info_serving_sizes_cruciferous_vegetables[metric][2]	dozeVegetablesCruciferousServing[metric][2]	1 tablespoon horseradish	1 colher de sopa de rábano	  
food_info_serving_sizes_other_vegetables[imperial][0]	dozeVegetablesOtherServing[imperial][0]	1 cup raw leafy vegetables	1 chávena de vegetais crus com folha	  
food_info_serving_sizes_other_vegetables[metric][0]	dozeVegetablesOtherServing[metric][0]	60 g raw leafy vegetables	60 g de vegetais crus com folha	  
food_info_serving_sizes_other_vegetables[imperial][1]	dozeVegetablesOtherServing[imperial][1]	½ cup raw or cooked nonleafy vegetables	½ chávena de vegetais crus ou cozidos sem folha	  
food_info_serving_sizes_other_vegetables[metric][1]	dozeVegetablesOtherServing[metric][1]	50 g raw or cooked nonleafy vegetables	50 g de vegetais crus ou cozidos sem folha	  
food_info_serving_sizes_other_vegetables[imperial][2]	dozeVegetablesOtherServing[imperial][2]	½ cup vegetable juice	½ chávena de suco/sumo de vegetais	  
food_info_serving_sizes_other_vegetables[metric][2]	dozeVegetablesOtherServing[metric][2]	125 ml vegetable juice	125 ml de suco/sumo de vegetais	  
food_info_serving_sizes_other_vegetables[imperial][3]	dozeVegetablesOtherServing[imperial][3]	¼ cup dried mushrooms	¼ chávena de cogumelos secos	  
food_info_serving_sizes_other_vegetables[metric][3]	dozeVegetablesOtherServing[metric][3]	7 g dried mushrooms	7 g de cogumelos secos	  
food_info_serving_sizes_spices[imperial][0]	dozeSpicesServing[imperial][0]	¼ teaspoon of turmeric	¼ colher de chá de cúrcuma/açafrão-da-índia	  
food_info_serving_sizes_spices[metric][0]	dozeSpicesServing[metric][0]	¼ teaspoon of turmeric	¼ colher de chá de cúrcuma/açafrão-da-índia	  
food_info_serving_sizes_spices[imperial][1]	dozeSpicesServing[imperial][1]	Any other (salt-free) herbs and spices you enjoy	 de qualquer outra erva (sem sal) e especiarias que goste	  
food_info_serving_sizes_spices[metric][1]	dozeSpicesServing[metric][1]	Any other (salt-free) herbs and spices you enjoy	 de qualquer outra erva (sem sal) e especiarias que goste	  
food_info_types_cruciferous_vegetables[0]	dozeVegetablesCruciferousVarietyText[0]	Arugula	Rúcula	  
food_info_types_cruciferous_vegetables[1]	dozeVegetablesCruciferousVarietyText[1]	Bok choy	Couve chingensai (bok choy)	  
food_info_types_cruciferous_vegetables[2]	dozeVegetablesCruciferousVarietyText[2]	Broccoli (incl. Romanesco)	Brócolos/Brócolis (inclui romanesco)	  
food_info_types_cruciferous_vegetables[3]	dozeVegetablesCruciferousVarietyText[3]	Brussels sprouts	Couve-de-bruxelas	  
food_info_types_cruciferous_vegetables[4]	dozeVegetablesCruciferousVarietyText[4]	Cabbage (green, red and savoy)	Repolho (verde, vermelho e savoy)	  
food_info_types_cruciferous_vegetables[5]	dozeVegetablesCruciferousVarietyText[5]	Cauliflower (white, green, orange and purple)	Couve-flor (branca, verde, laranja e roxa)	  
food_info_types_cruciferous_vegetables[6]	dozeVegetablesCruciferousVarietyText[6]	Collard greens	Couve galega	  
food_info_types_cruciferous_vegetables[7]	dozeVegetablesCruciferousVarietyText[7]	Horseradish	Rábano	  
food_info_types_cruciferous_vegetables[8]	dozeVegetablesCruciferousVarietyText[8]	Kale (black, green, and red)	Couve-de-folhas/penca (preta, verde e vermelha)	  
food_info_types_cruciferous_vegetables[9]	dozeVegetablesCruciferousVarietyText[9]	Kohlrabi (green and purple)	Couve-rábano (verde e roxa)	  
food_info_types_cruciferous_vegetables[10]	dozeVegetablesCruciferousVarietyText[10]	Mustard greens	Folhas de mostarda	  
food_info_types_cruciferous_vegetables[11]	dozeVegetablesCruciferousVarietyText[11]	Radishes	Rabanetes	  
food_info_types_cruciferous_vegetables[12]	dozeVegetablesCruciferousVarietyText[12]	Turnip greens	Nabiças	  
food_info_types_cruciferous_vegetables[13]	dozeVegetablesCruciferousVarietyText[13]	Watercress	Agrião	  
food_info_types_berries[0]	dozeBerriesVarietyText[0]	Acai berries	Bagas Açaí	  
food_info_types_berries[1]	dozeBerriesVarietyText[1]	Barberries	Bérberis	  
food_info_types_berries[2]	dozeBerriesVarietyText[2]	Blackberries	Amora silvestre	  
food_info_types_berries[3]	dozeBerriesVarietyText[3]	Blueberries	Mirtilos	  
food_info_types_berries[4]	dozeBerriesVarietyText[4]	Cherries (sweet or tart)	Cerejas (doces ou azedas)	  
food_info_types_berries[5]	dozeBerriesVarietyText[5]	Concord grapes	Uvas Concord	  
food_info_types_berries[6]	dozeBerriesVarietyText[6]	Cranberries	Arandos/oxicocos	  
food_info_types_berries[7]	dozeBerriesVarietyText[7]	Goji berries	Bagas Goji	  
food_info_types_berries[8]	dozeBerriesVarietyText[8]	Kumquats	Kumquats	  
food_info_types_berries[9]	dozeBerriesVarietyText[9]	Mulberries	Amoreiras	  
food_info_types_berries[10]	dozeBerriesVarietyText[10]	Raspberries (black or red)	Framboesas (pretas ou vermelhas)	  
food_info_types_berries[11]	dozeBerriesVarietyText[11]	Strawberries	Morangos	  
food_info_types_exercise[0]	dozeExerciseVarietyText[0]	Bicycling	Ciclismo	  
food_info_types_exercise[1]	dozeExerciseVarietyText[1]	Canoeing	Canoagem	  
food_info_types_exercise[2]	dozeExerciseVarietyText[2]	Dancing	Dança	  
food_info_types_exercise[3]	dozeExerciseVarietyText[3]	Dodgeball	Jogo do mata/Queimada	  
food_info_types_exercise[4]	dozeExerciseVarietyText[4]	Downhill skiing	Esqui alpino	  
food_info_types_exercise[5]	dozeExerciseVarietyText[5]	Fencing	Esgrima	  
