key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ chávena de rebentos de Couves-de-Bruxelas		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ chávena de rebentos de Brócolos		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1 colher de sopa de Rábano Silvestre		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78 g de rebentos de Couves-de-Bruxelas		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14 g de rebentos de Brócolos		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1 colher de sopa de Rábano Sivlestre		
about_translators	info_app_about_translators	Special thanks to our volunteer translators: Petar & Tsveti Enchev (bg), Ricard Soler Roger (ca), Luděk Bouška (cs,sk), Lenka Lukacová (cs), Anke Schliessmann (de), Ángela Graña (es), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru), Katarína Mocáková (sk).	Agradecimentos especiais aos tradutores voluntários: Petar & Tsveti Enchev (bg), Ricard Soler Roger (ca), Luděk Bouška (cs,sk), Lenka Lukacová (cs), Anke Schliessmann (de), Ángela Graña (es), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru), Katarína Mocáková (sk).	Info About View: Contributing Translators List (language code)  See https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes	
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	Permitir que informação anónima sobre o uso seja recolhida para ajudar a melhorar a aplicação.	Google Firebase Analytics	
	setting_analytics_enable	Enable Analytics	Permitir analítica	Google Firebase Analytics	
	setting_analytics_opt_in	Opt In	Optar por participar	Google Firebase Analytics	
	setting_analytics_opt_out	Opt Out	Optar por não participar	Google Firebase Analytics	
	setting_analytics_title	Analytics	Analítica	Google Firebase Analytics	
