key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ cană varză de Bruxelles		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ cană germeni de broccoli		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1 lingură de hrean		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78 g varză de Bruxelles		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14 g cană germeni de broccoli		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1 lingură de hrean		
android_about_text_translators	info_app_about_translators	Special thanks to our volunteer translators: Petar & Tsveti Enchev (bg), Ricard Soler Roger (ca), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Annalisa Guerrini-Körner (it), Ilaria Zanini (it), Hanna Gurzeda (pl), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Cristina Lauby (ro), Evgeniya Lyakh (ru).	Mulțumiri speciale traducătorilor noștri voluntari: Petar & Tsveti Enchev (bg), Ricard Soler Roger (ca), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Annalisa Guerrini-Körner (it), Ilaria Zanini (it), Hanna Gurzeda (pl), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Cristina Lauby (ro), Evgeniya Lyakh (ru).	Info About View: Contributing Translators List	
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	Permiteți colectarea informațiilor de utilizare anonime pentru a ajuta la îmbunătățirea acestei aplicații.	Google Firebase Analytics	
	setting_analytics_enable	Enable Analytics	Permiteți analiza datelor	Google Firebase Analytics	
	setting_analytics_opt_in	Opt In	Înscriere	Google Firebase Analytics	
	setting_analytics_opt_out	Opt Out	Renunțare	Google Firebase Analytics	
	setting_analytics_title	Analytics	Analiza datelor	Google Firebase Analytics	
