key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Înapoi la ziua de azi	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Today	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes	Dimensiunea unei porții	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Varietăți	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porții	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Leguminoase boabe	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ cană humus sau de fasole frecată		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ cană fasole gătită, mazăre uscată (galbenă sau verde), linte, tofu sau tempeh		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 cană mazăre proaspată sau linte încolțită		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g humus sau de fasole frecată		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g fasole gătită, mazăre uscată (galbenă sau verde), linte, tofu sau tempeh		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g mazăre proaspată sau linte încolțită		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Fasole neagră		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Fasole ochi negru		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Fasole untoasă		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Fasole cannellini		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Năut		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame (păstăi verzi de soia)		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Mazăre englezească		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Fasole nordică cu bobul mare		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Fasole roșie cu bob în formă de rinichi		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Linte (beluga, franceză și roșie)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Fasole albă		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Fasole pinto		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Fasole roșie cu bobul mic		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Mazăre uscată (galbenă sau verde)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Fructe de pădure	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ cană proaspete sau congelate		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ cană uscate		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g proaspete sau congelate		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g uscate		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Agrișe		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Mure		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Afine		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cireșe dulci sau vișine		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Struguri violet		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Merișoare		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji (Cătină de garduri)		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquat		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Dude		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Zmeură (neagră sau roșie)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Căpșuni		
beverages	dozeBeverages.heading	Beverages	Băuturi	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Un pahar (12 ounces)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Un pahar (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Ceai negru		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Ceai condimentat		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Ceai de mușețel cu vanilie		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Cafea		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Ceai earl grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Ceai verde		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Ceai de hibiscus		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Ciocolată caldă		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Ceai de iasomie		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Ceai de roiniță		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Ceai matcha		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Ceai (oolong) din floare de migdale		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Ceai de mentă		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Ceai de rooibos		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Apă		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Ceai alb		
exercise	dozeExercise.heading	Exercise	Exerciții fizice	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 de minute de activitate cu un grad moderat de intensitate		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 de minute de activitate viguroasă		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 de minute de activitate cu un grad moderat de intensitate		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 de minute de activitate viguroasă		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Mers pe bicicletă		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Canotaj		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Dans		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Dodgeball		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Schiat în pantă		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Scrimă		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Drumeție		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Muncă în gospodărie		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Patinaj pe gheață		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Patinaj cu role de viteză (role în linie)		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Jonglat		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Sărituri pe o trambulină elastică		
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	Vâslit		
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee	Frisbee		
