key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DuzinaZilnică	User-visible application name. Visible under icon. Used by Siri.	If we use the Romaian translation for the title, it should be: 12 Alimente Zilnice OR Duzina Zilnică. I will further use Duzina Zilnică as it's shorter, to the point, and applies to non-food recommendations too. 
	CFBundleName	DailyDozen	DuzinaZilnică	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Înapoi la ziua de azi	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Azi	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Dimensiunea unei porții (Sugestie)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Tipuri	Doze Detail View subheading: ‘Types’	agree with edits
servings	doze_entry_header	Servings	Porții	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Leguminoase boabe	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ cană humus sau de fasole frecată		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ cană fasole gătită, mazăre uscată (galbenă sau verde) sau linte		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	½ cană tofu sau tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1 cană mazăre de grădină sau mazăre de zăpadă		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	60 g humus sau de fasole frecată		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	90 g fasole gătită, mazăre uscată (galbenă sau verde) sau linte		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	100 g tofu sau tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100 g mazăre de grădină sau mazăre de zăpadă		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Fasole neagră		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Fasole ochi negru		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Fasole untoasă (Lima)		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Fasole Cannellini		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Năut		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame (păstăi verzi de soia)		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Mazăre de grădină		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Fasole albă mare		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Fasole roșie		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Linte (beluga, franceză și roșie)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Navy beans	Fasole albă cu bob mic		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Pinto beans	Fasole Pinto		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Small red beans	Fasole roșie cu bobul mic		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Split peas (yellow or green)	Mazăre uscată (galbenă sau verde)		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Fructe de pădure	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ cană proaspete sau congelate		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ cană uscate		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	60 g proaspete sau congelate		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g uscate		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Agrișe		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Mure		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Afine		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cireșe sau vișine		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Struguri violet		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Merișoare		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji (Cătină de garduri)		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquat		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Dude		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Zmeură (neagră sau roșie)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Căpșuni		
beverages	dozeBeverages.heading	Beverages	Băuturi	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Un pahar (12 uncii)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Un pahar (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Ceai negru		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Ceai negru condimentat		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Ceai de mușețel cu vanilie		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Cafea		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Ceai Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Ceai verde		
