key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ cup Brussels sprouts		½ чашки брюссельской капусты
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ cup Broccoli sprouts		¼ чашки проростков брокколи
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1 tablespoon horseradish		1 столовая ложка хрена
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78 g Brussels sprouts		78 г брюссельской капусты
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14 g Broccoli sprouts		14 г проростков брокколи
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1 tablespoon horseradish		1 столовая ложка хрена
android_about_text_translators	info_app_about_translators	Special thanks to our volunteer translators: Ricard Soler Roger (ca), Anke Schliessmann (de), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Special thanks to our volunteer translators: Ricard Soler Roger (ca), Anke Schliessmann (de), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Info About View: Contributing Translators List	Особая благодарность нашим переводчикам-волонтерам: Ricard Soler Roger (ca), Anke Schliessmann (de), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	Enable anonymous usage information to be collected to help improve this application.	Google Firebase Analytics	Включите анонимный сбор данных, чтобы помочь улучшить это приложение.
	setting_analytics_enable	Enable Analytics	Enable Analytics	Google Firebase Analytics	Включить аналитику.
	setting_analytics_opt_in	Opt In	Opt In	Google Firebase Analytics	Разрешить
	setting_analytics_opt_out	Opt Out	Opt Out	Google Firebase Analytics	Запретить
	setting_analytics_title	Analytics	Analytics	Google Firebase Analytics	Аналитика
