key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Размеры порций (рекомендуемые)	Doze Detail View subheading: ‘Serving Sizes’	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ стакана хумуса или соуса из фасоли		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ стакана вареной фасоли, гороха или чечевицы		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ стакана тофу или темпе		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 чашка свежего гороха или стручкового горошка		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 стакан свежей пророщенной фасоли (чечевицы, бобов мунг)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 г хумуса или соуса из фасоли		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 г вареной фасоли, гороха или чечевицы		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 г тофу или темпе		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 г свежего или стручкового горошка		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 г свежей пророщенной фасоли (чечевицы, бобов мунг)		
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	Daily Dozen для меня слишком много/слишком мало еды! Могу ли я адаптировать количество?		
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Да, Daily Dozen задумно как справочник наиболее здоровых продуктов, которые мы рекомендовано включать в рацон каждый день. Это не план питания  и не предписание. Делайте все что можно, чтобы потреблять разнообразные цельные растительные продукты, и адаптируйте дневное меню к количествам, которые вам подходят.		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	Можно ли адаптировать это для детей и подростков?		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Дети и подростки имеют разные потребности в калориях на протяжении жизни. Эти потребности меняются, чтобы поддерживать рост и развитие на каждом этапе.		
