key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Обратно к Сегодня	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Сегодня	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Размеры порций (рекомендуемые)	Doze Detail View subheading: ‘Serving Sizes’	Serving Sizes (recommended)
types	doze_detail_section_types	Types	Виды	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Порции	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Бобовые	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ стакана хумуса или соуса из фасоли		¼ cup hummus or bean sauce
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ стакана вареной фасоли, гороха или чечевицы		½ cup boiled beans, peas or lentils
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ стакана тофу или темпе		½ cup tofu or tempeh
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 стакан свежего горошка		1 cup fresh peas
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 стакан свежей пророщенной фасоли (чечевица, маш)		1 cup fresh sprouted beans (lentils, mung beans)
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 г хумуса или соуса из фасоли		60 g hummus or bean sauce
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 г вареной фасоли, гороха или чечевицы		90 g boiled beans, peas or lentils
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 г тофу или темпе		100 g tofu or tempeh
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 г свежего горошка		130 g fresh peas
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 г свежей пророщенной фасоли (чечевица, маш)		100 g fresh sprouted beans (lentils, mung bean)
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Чёрная фасоль		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Черноглазая фасоль		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Фасоль лима		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Фасоль каннеллини		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Нут		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Эдамамэ		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Садовый горох		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Белая фасоль (великая северная)		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Красная фасоль (кидни)		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Чечевица (чёрная "белуга", зеленая "французская" и разновидности красной)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Мисо		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Белая фасоль (флотская)		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Фасоль пинто		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Мелкая красная фасоль		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Горох колотый (жёлтый или зелёный)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Темпе		
berries	dozeBerries.heading	Berries	Ягоды	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ чашки свежих или замороженных		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ чашки сушёных		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 г свежих или замороженных		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 г сушёных		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Ягоды асаи		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Барбарис		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Ежевика		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Черника, голубика		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Вишня (или черешня)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Виноград Конкорд		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Клюква		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Ягоды годжи		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Кумкват		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Шелковица		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Малина (чёрная или красная)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Клубника		
beverages	dozeBeverages.heading	Beverages	Напитки	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Один стакан (12 унций)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Один стакан (350 мл)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Чёрный чай		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Чай масала		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Ромашковый чай с ванилью		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Кофе		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Чай Эрл Грей		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Зелёный чай		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Каркаде		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Горячий шоколад		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Чай с жасмином		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Чай из мелиссы		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Чай матча		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Миндальный улун		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Чай из перечной мяты		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Ройбос		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Вода		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Белый чай		
exercise	dozeExercise.heading	Exercise	Физические Упражнения	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 минут нагрузки средней интенсивности		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 минут интенсивной нагрузки		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 минут нагрузки средней интенсивности		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 минут интенсивной нагрузки		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Езда на велосипеде		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Гребля		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Танцы		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Доджбол (вышибалы)		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Горнолыжный спорт		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Фехтование		
