key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	Denná Dvanástka	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	Denná Dvanástka	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Späť na Dnes	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Dnes	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes	Veľkosť porcie	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Typy	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porcia	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Strukoviny	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ šálky hummusu alebo strukovinového dipu		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ šálky varených strukovín, hrášku, šošovice, tofu, alebo tempeh		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup fresh peas or sprouted lentils	1 šálka čerstvého hrášku alebo naklíčenej šošovice		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g hummusu alebo strukovinového dipu		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g varených fazulí, hrášku, šošovice, tofu alebo tempehu		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g fresh peas or sprouted lentils	150 g čerstvého hrášku alebo naklíčenej šošovice		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Čierna fazuľa		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Čiernooká fazuľa		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Maslová fazuľa		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Fazuľa Cannellini		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	 Cícer / Fazuľa Garbanzo		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Fazuľa Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	 Anglický hrášok		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Veľká severská fazuľa		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Fazuľa (v tvare obličky)		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Šošovica (beluga, francúzske a červené odrody)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso pasta		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Fazuľa Navy		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Fazuľa Pinto		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Malá červená fazuľa		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Polený hrach (žltý alebo zelený)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Bobuľoviny	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ šálky čerstvého alebo mrazeného		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ šálky sušené		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g čerstvé alebo mrazené		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g sušené		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai bobule		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Dráč obyčajný		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Černice		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Čučoriedky		
