key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Veľkosti porcí (odporúčané)	Doze Detail View subheading: ‘Serving Sizes’	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ šálky hummusu alebo fazuľového dipu		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ šálky varenej fazule, hrachu alebo šošovice		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ šálky tofu alebo tempehu		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 šálka čerstvého hrášku alebo cukrového hrášku		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1½ šálky čerstvej naklíčenej fazule (šošovica, fazuľa mungo)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g hummusu alebo fazuľového dipu		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g varenej fazule, hrachu alebo šošovice		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g tofu alebo tempehu		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g čerstvého hrášku alebo cukrového hrášku		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g čerstvej naklíčenej fazule (šošovica, fazuľa mungo)		
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	Denná Dvanástka je pre mňa príliš veľa/príliš málo jedla! Môžem si to prispôsobiť?		
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Áno, Daily Dozen má byť jednoducho sprievodcom tých najzdravších potravín, ktoré sa snažíme každý deň zaradiť. Nie je to plán stravovania a nie je určený na predpis. Snažte sa jesť rozmanitú škálu celých rastlinných potravín a prispôsobte denný tucet množstvu, ktoré vám vyhovuje.		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	Je to prispôsobiteľné pre deti, dospievajúcich a mládež?		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Deti, dospievajúci a dospievajúci majú počas svojho životného cyklu rôzne kalorické potreby. Tieto potreby sa menia, aby podporili rast a rozvoj v každej fáze.		
