key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_videos_beans		topics/beans	es/topics/legumbres-es	https://nutritionfacts.org/topics/beans	https://nutritionfacts.org/es/topics/legumbres-es
food_info_videos_berries		topics/berries	es/topics/bayas-es	https://nutritionfacts.org/topics/berries	https://nutritionfacts.org/es/topics/bayas-es
food_info_videos_beverages		topics/beverages	es/topics/bebidas/	https://nutritionfacts.org/topics/beverages	https://nutritionfacts.org/es/topics/bebidas/
food_info_videos_cruciferous		topics/cruciferous-vegetables	es/topics/vegetales-cruciferos	https://nutritionfacts.org/topics/cruciferous-vegetables	https://nutritionfacts.org/es/topics/vegetales-cruciferos
food_info_videos_exercise		topics/exercise	es/topics/ejercicio	https://nutritionfacts.org/topics/exercise	https://nutritionfacts.org/es/topics/ejercicio
food_info_videos_flaxseeds		topics/flax-seeds	es/topics/semillas-de-linaza	https://nutritionfacts.org/topics/flax-seeds	https://nutritionfacts.org/es/topics/semillas-de-linaza
food_info_videos_fruits		topics/fruit	es/topics/fruta	https://nutritionfacts.org/topics/fruit	https://nutritionfacts.org/es/topics/fruta
food_info_videos_greens		topics/greens	es/topics/verduras	https://nutritionfacts.org/topics/greens	https://nutritionfacts.org/es/topics/verduras
food_info_videos_nuts		topics/nuts	es/topics/nueces	https://nutritionfacts.org/topics/nuts	https://nutritionfacts.org/es/topics/nueces
food_info_videos_omega3		topics/omega-3-fatty-acids	es/topics/acidos-grasos-omega-3	https://nutritionfacts.org/topics/omega-3-fatty-acids	https://nutritionfacts.org/es/topics/acidos-grasos-omega-3
food_info_videos_spices		topics/spices	es/topics/especias	https://nutritionfacts.org/topics/spices	https://nutritionfacts.org/es/topics/especias
food_info_videos_vegetables		topics/vegetables	es/topics/vegetales	https://nutritionfacts.org/topics/vegetables	https://nutritionfacts.org/es/topics/vegetales
food_info_videos_vitamin_b12		topics/vitamin-b12	es/topics/vitamina-b12	https://nutritionfacts.org/topics/vitamin-b12	https://nutritionfacts.org/es/topics/vitamina-b12
food_info_videos_vitamin_d		topics/vitamin-d-supplements	es/topics/suplementos-de-vitamina-d	https://nutritionfacts.org/topics/vitamin-d-supplements	https://nutritionfacts.org/es/topics/suplementos-de-vitamina-d
food_info_videos_whole_grains		topics/grains	es/topics/granos	https://nutritionfacts.org/topics/grains	https://nutritionfacts.org/es/topics/granos
food_videos_beans.0		topics/black-beans	es/topics/frijoles-negros	https://nutritionfacts.org/topics/black-beans	https://nutritionfacts.org/es/topics/frijoles-negros
food_videos_beans.1					
food_videos_beans.2					
food_videos_beans.3					
food_videos_beans.4		topics/chickpeas	es/topics/garbanzos	https://nutritionfacts.org/topics/chickpeas	https://nutritionfacts.org/es/topics/garbanzos
food_videos_beans.5		topics/edamame	es/topics/edamame	https://nutritionfacts.org/topics/edamame	https://nutritionfacts.org/es/topics/edamame
food_videos_beans.6					
food_videos_beans.7					
food_videos_beans.8		topics/kidney-beans	es/topics/frijoles-rojos	https://nutritionfacts.org/topics/kidney-beans	https://nutritionfacts.org/es/topics/frijoles-rojos
food_videos_beans.9		topics/lentils	/es/topics/lentejas	https://nutritionfacts.org/topics/lentils	https://nutritionfacts.org//es/topics/lentejas
food_videos_beans.10		topics/miso	es/topics/miso-es	https://nutritionfacts.org/topics/miso	https://nutritionfacts.org/es/topics/miso-es
food_videos_beans.11		topics/navy-beans	es/topics/frijoles-blancos	https://nutritionfacts.org/topics/navy-beans	https://nutritionfacts.org/es/topics/frijoles-blancos
food_videos_beans.12		topics/pinto-beans	es/topics/frijoles-pintos	https://nutritionfacts.org/topics/pinto-beans	https://nutritionfacts.org/es/topics/frijoles-pintos
food_videos_beans.13					
food_videos_beans.14		topics/split-peas	es/topics/guisantes-partidos	https://nutritionfacts.org/topics/split-peas	https://nutritionfacts.org/es/topics/guisantes-partidos
food_videos_beans.15		topics/tempeh	es/topics/tempeh-es	https://nutritionfacts.org/topics/tempeh	https://nutritionfacts.org/es/topics/tempeh-es
food_videos_berries.0		topics/acai-berries	/es/topics/bayas-de-acai-es	https://nutritionfacts.org/topics/acai-berries	https://nutritionfacts.org//es/topics/bayas-de-acai-es
food_videos_berries.1		topics/barberries	es/topics/berberos-es	https://nutritionfacts.org/topics/barberries	https://nutritionfacts.org/es/topics/berberos-es
food_videos_berries.2		topics/blackberries	es/topics/moras	https://nutritionfacts.org/topics/blackberries	https://nutritionfacts.org/es/topics/moras
food_videos_berries.3		topics/blueberries	es/topics/arandanos-azules	https://nutritionfacts.org/topics/blueberries	https://nutritionfacts.org/es/topics/arandanos-azules
food_videos_berries.4		topics/cherries	es/topics/cerezas	https://nutritionfacts.org/topics/cherries	https://nutritionfacts.org/es/topics/cerezas
food_videos_berries.5		topics/grapes	es/topics/uvas	https://nutritionfacts.org/topics/grapes	https://nutritionfacts.org/es/topics/uvas
food_videos_berries.6		topics/cranberries	es/topics/arandanos-es	https://nutritionfacts.org/topics/cranberries	https://nutritionfacts.org/es/topics/arandanos-es
food_videos_berries.7		topics/goji-berries	es/topics/goji	https://nutritionfacts.org/topics/goji-berries	https://nutritionfacts.org/es/topics/goji
food_videos_berries.8					
food_videos_berries.9					
food_videos_berries.10		topics/raspberries	es/topics/frambuesas	https://nutritionfacts.org/topics/raspberries	https://nutritionfacts.org/es/topics/frambuesas
food_videos_berries.11		topics/strawberries	es/topics/fresas	https://nutritionfacts.org/topics/strawberries	https://nutritionfacts.org/es/topics/fresas
food_videos_beverages.0		topics/black-tea	es/topics/te-negro	https://nutritionfacts.org/topics/black-tea	https://nutritionfacts.org/es/topics/te-negro
food_videos_beverages.1		topics/chai-tea	es/topics/te-chai	https://nutritionfacts.org/topics/chai-tea	https://nutritionfacts.org/es/topics/te-chai
food_videos_beverages.2		topics/chamomile-tea	es/topics/te-de-manzanilla	https://nutritionfacts.org/topics/chamomile-tea	https://nutritionfacts.org/es/topics/te-de-manzanilla
food_videos_beverages.3		topics/coffee	es/topics/cafe	https://nutritionfacts.org/topics/coffee	https://nutritionfacts.org/es/topics/cafe
food_videos_beverages.4		topics/earl-grey-tea	es/topics/te-earl-grey-es	https://nutritionfacts.org/topics/earl-grey-tea	https://nutritionfacts.org/es/topics/te-earl-grey-es
food_videos_beverages.5		topics/green-tea	es/topics/te-verde	https://nutritionfacts.org/topics/green-tea	https://nutritionfacts.org/es/topics/te-verde
food_videos_beverages.6		topics/hibiscus-tea	es/topics/hibiscus-tea-es	https://nutritionfacts.org/topics/hibiscus-tea	https://nutritionfacts.org/es/topics/hibiscus-tea-es
food_videos_beverages.7					
food_videos_beverages.8		topics/jasmine-tea	es/topics/te-de-jasmin		https://nutritionfacts.org/es/topics/te-de-jasmin
food_videos_beverages.9		topics/lemon-balm		https://nutritionfacts.org/topics/lemon-balm	
food_videos_beverages.10		topics/matcha	es/topics/matcha-es	https://nutritionfacts.org/topics/matcha	https://nutritionfacts.org/es/topics/matcha-es
food_videos_beverages.11		topics/oolong-tea	es/topics/te-oolong-es	https://nutritionfacts.org/topics/oolong-tea	https://nutritionfacts.org/es/topics/te-oolong-es
food_videos_beverages.12		topics/peppermint	es/topics/menta-es	https://nutritionfacts.org/topics/peppermint	https://nutritionfacts.org/es/topics/menta-es
