key_droid	key_apple	base_value	lang_value	base_comment
exercise	dozeExercise	Exercise	Ejercicio	
greens	dozeGreens	Greens	Vegetales de Hoja Verde	
beans	dozeBeans	Beans	Frijoles	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Vegetales Crucíferos	
other_vegetables	dozeVegetablesOther	Other Vegetables	Otros Vegetales	
vitamin_b12	otherVitaminB12	Vitamin B12	Vitamina B12	
beverages	dozeBeverages	Beverages	Bebidas	
other_fruits	dozeFruitsOther	Other Fruits	Otras Frutas	
nuts	dozeNuts	Nuts and Seeds	Nueces	
spices	dozeSpices	Herbs and Spices	Especias	
berries	dozeBerries	Berries	Bayas	
flaxseeds	dozeFlaxseeds	Flaxseeds	Linaza	
whole_grains	dozeWholeGrains	Whole Grains	Granos Integrales	
food_info_serving_sizes_spices[imperial][0]	dozeSpicesServing[imperial][0]	¼ teaspoon of turmeric	¼ cucharadita de cúrcuma	  
food_info_serving_sizes_spices[metric][0]	dozeSpicesServing[metric][0]	¼ teaspoon of turmeric	¼ cucharadita de cúrcuma	  
food_info_serving_sizes_spices[imperial][1]	dozeSpicesServing[imperial][1]	Any other (salt-free) herbs and spices you enjoy	Cualquier otra especie (sin sal) que gustes	  
food_info_serving_sizes_spices[metric][1]	dozeSpicesServing[metric][1]	Any other (salt-free) herbs and spices you enjoy	Cualquier otra especie (sin sal) que gustes	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Un vaso (12 onzas)	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Un vaso (350 ml)	  
food_info_serving_sizes_cruciferous_vegetables[imperial][0]	dozeVegetablesCruciferousServing[imperial][0]	½ cup chopped	½ taza picado	  
food_info_serving_sizes_cruciferous_vegetables[metric][0]	dozeVegetablesCruciferousServing[metric][0]	30–80 g chopped	30–80 g picado	  
food_info_serving_sizes_cruciferous_vegetables[imperial][1]	dozeVegetablesCruciferousServing[imperial][1]	¼ cup Brussels or broccoli sprouts	¼ taza de coles de Bruselas o retoños de brócoli	  
