key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Volver a hoy	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Hoy	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Tamaño de las porciones (sugerencia)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Tipos	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porciones	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Legumbres	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ taza de hummus o paté de otras legumbres		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ taza de legumbres cocinadas		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ taza de tofu o tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 taza de arvejas o tirabeques		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 taza de brotes de legumbres 		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g de hummus o paté de otras legumbres		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g de legumbres cocinadas		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g de tofu o tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g de arvejas o tirabeques		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g de brotes de legumbres		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Frijoles negros		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Frijoles de careta		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Habas grandes		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Frijoles blancos		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Garbanzos		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Guisantes		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Frijoles Great Northern		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Frijoles rojos		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentejas (beluga, francesa, roja)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Frijoles blancos		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Frijoles pintos		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Frijoles rojos pequeños		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Guisantes partidos (amarillos o verdes)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Frutos rojos	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ taza frescos o congelados		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ taza secos		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g frescos o congelados		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g secos		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Açai		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Agracejos		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Moras		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Arándanos azules		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cerezas (dulces o ácidas)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Uvas		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Arándanos rojos		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Bayas de Goji		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquats		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Morera		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Frambuesas (negras o rojas)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Fresas		
beverages	dozeBeverages.heading	Beverages	Bebidas	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Un vaso (12 onzas)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Un vaso (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Té negro		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chai		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Infusión de vainilla y manzanilla		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Café		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Té Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Té verde		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Infusión de hibisco		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Chocolate caliente		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Té de jazmín		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Té de limón		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Té matcha		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Té oolong		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Infusión de menta		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Infusión de rooibos		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Agua		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Té blanco		
exercise	dozeExercise.heading	Exercise	Ejercicio	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minutos de actividad moderada		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minutos de actividad vigorosa		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minutos de actividad moderada		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minutos de actividad vigorosa		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Bicicleta		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Canoa		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Baile		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	El prisionero		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Esquí de descenso		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Esgrima		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Senderismo		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Tareas domésticas		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Patinaje sobre hielo		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Patinaje en línea		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Malabarismos		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Saltar en trampolín		
