key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	Дюжина доктора Грегера	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	Дюжина доктора Грегера	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	До сьогодні	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Сьогодні	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Розміри порцій (Запропоновані)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Види	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Порції	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Боби	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ чашки хумусу або пюре з квасолі		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ чашки вареної квасолі, колотого гороху або сочевиці		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	⅓ чашки тофу або темпе		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1 чашка свіжого гороху або пророщеної сочевиці		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	70 г хумусу або бобової пасти		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	100 г варених бобів, колотого гороху або сочевиці		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	80 г тофу або темпе		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100 г свіжого гороху або пророщеної сочевиці		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Боби чорні		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Чорноокий горох		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Квасоля масляна		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Квасоля каннелліні		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Нут/квасоля гарбанзо		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Едамаме		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Горох		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Велика північна квасоля		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Квасоля		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Сочевиця (білуга, французька, червона)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Navy beans	Флотська квасоля		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Pinto beans	Квасоля пінто		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Small red beans	Дрібна червона квасоля		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Split peas (yellow or green)	Горох колотий (жовтий чи зелений)		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Tempeh	Темпе		
berries	dozeBerries.heading	Berries	Ягоди	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ чашки свіжих чи заморожених		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ чашки у сухому вигляді		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	70 г свіжих або заморожених		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 г сушеного		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Ягоди асаї		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Барбарис		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Ожина		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Чорниця		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Вишня (солодка або терпка)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Виноград “Конкорд”		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Журавлина		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Ягоди годжі		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Кумкват		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Шовковиця		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Малина (чорна або червона)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Полуниця		
beverages	dozeBeverages.heading	Beverages	Напої	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Одна склянка (12 унцій)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Одна склянка (350 мл)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Чорний чай		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Чай масала		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Ванільний ромашковий чай		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Кава		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Чай Ерл Грей		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Зелений чай		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Гібіскусовий чай		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Jasmine tea	Жасминовий чай		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Lemon balm tea	Чай з меліси		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Matcha tea	Чай матча		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Almond blossom oolong tea	Чай улун з мигдалем		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Peppermint tea	М'ятний чай		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Rooibos tea	Чай Ройбуш		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Water	Вода		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	White tea	Білий чай		
exercise	dozeExercise.heading	Exercise	Фізична активність	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 хвилин навантаження середньої інтенсивності		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 хвилин навантаження високої інтенсивності		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 хвилин навантаження середньої інтенсивності		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 хвилин навантаження високої інтенсивності		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Їзда на велосипеді		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Веслування на каное		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Танці		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Доджбол		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Гірськолижний спорт		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Фехтування		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Хайкінг		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Робота по дому (прибирання)		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Катання на ковзанах		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Катання на роликах		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Жонглювання		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Стрибання на батуті		
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	Катання на катамарані		
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee	Гра у фрізбі		
food_info_types_exercise.14	dozeExercise.Variety.Text.14	Roller-skating	Катання на роликах		
food_info_types_exercise.15	dozeExercise.Variety.Text.15	Shooting baskets	Закидання м'яча в корзину		
food_info_types_exercise.16	dozeExercise.Variety.Text.16	Shoveling light snow	Згрібання снігу		
food_info_types_exercise.17	dozeExercise.Variety.Text.17	Skateboarding	Катання на скейтборді		
food_info_types_exercise.18	dozeExercise.Variety.Text.18	Snorkeling	Снорклінг		
food_info_types_exercise.19	dozeExercise.Variety.Text.19	Surfing	Серфінг		
food_info_types_exercise.20	dozeExercise.Variety.Text.20	Swimming recreationally	Плавання вільним стилем		
food_info_types_exercise.21	dozeExercise.Variety.Text.21	Tennis (doubles)	Теніс (парний)		
food_info_types_exercise.22	dozeExercise.Variety.Text.22	Treading water	Вертикальне утримання на плаву		
food_info_types_exercise.23	dozeExercise.Variety.Text.23	Walking briskly (4 mph)	Швидка ходьба (6-7 км/год)		
food_info_types_exercise.24	dozeExercise.Variety.Text.24	Water aerobics	Водна аеробіка		
food_info_types_exercise.25	dozeExercise.Variety.Text.25	Waterskiing	Катання на водних лижах		
food_info_types_exercise.26	dozeExercise.Variety.Text.26	Yard work	Робота в саду		
food_info_types_exercise.27	dozeExercise.Variety.Text.27	Yoga	Йога		
food_info_types_exercise.28	dozeExercise.Variety.Text.28	Backpacking	Бекпекінг		
food_info_types_exercise.29	dozeExercise.Variety.Text.29	Basketball	Баскетбол		
food_info_types_exercise.30	dozeExercise.Variety.Text.30	Bicycling uphill	Маунтенбайк		
food_info_types_exercise.31	dozeExercise.Variety.Text.31	Circuit weight training	Кругове тренування з обтяженнями		
food_info_types_exercise.32	dozeExercise.Variety.Text.32	Cross-country skiing	Лижні перегони		
food_info_types_exercise.33	dozeExercise.Variety.Text.33	Football	Американський футбол		
food_info_types_exercise.34	dozeExercise.Variety.Text.34	Hockey	Хокей		
food_info_types_exercise.35	dozeExercise.Variety.Text.35	Jogging	Біг підтюпцем		
food_info_types_exercise.36	dozeExercise.Variety.Text.36	Jumping jacks	Стрибки домкратів		
food_info_types_exercise.37	dozeExercise.Variety.Text.37	Jumping rope	Стрибки через скакалку		
food_info_types_exercise.38	dozeExercise.Variety.Text.38	Lacrosse	Лакрос		
food_info_types_exercise.39	dozeExercise.Variety.Text.39	Push-ups	Віджимання		
food_info_types_exercise.40	dozeExercise.Variety.Text.40	Pull-ups	Підтягування		
food_info_types_exercise.41	dozeExercise.Variety.Text.41	Racquetball	Ракетбол		
food_info_types_exercise.42	dozeExercise.Variety.Text.42	Rock climbing	Скелелазіння		
food_info_types_exercise.43	dozeExercise.Variety.Text.43	Rugby	Регбі		
food_info_types_exercise.44	dozeExercise.Variety.Text.44	Running	Біг		
food_info_types_exercise.45	dozeExercise.Variety.Text.45	Scuba diving	Дайвінг		
food_info_types_exercise.46	dozeExercise.Variety.Text.46	Tennis (singles)	Теніс (одиночний)		
food_info_types_exercise.47	dozeExercise.Variety.Text.47	Soccer	Футбол		
food_info_types_exercise.48	dozeExercise.Variety.Text.48	Speed skating	Ковзанярський спорт		
food_info_types_exercise.49	dozeExercise.Variety.Text.49	Squash	Сквош		
food_info_types_exercise.50	dozeExercise.Variety.Text.50	Step aerobics	Степ аеробіка		
food_info_types_exercise.51	dozeExercise.Variety.Text.51	Swimming laps	Спортивне плавання		
food_info_types_exercise.52	dozeExercise.Variety.Text.52	Walking briskly uphill	Швидка ходьба вгору		
food_info_types_exercise.53	dozeExercise.Variety.Text.53	Water jogging	Водний джогінг		
flaxseeds	dozeFlaxseeds.heading	Flaxseeds	Насіння льону	heading for daily data entry item	
food_info_serving_sizes_flaxseeds_imperial.0	dozeFlaxseeds.Serving.imperial.0	1 tablespoon ground	1 ч.л. меленого		
food_info_serving_sizes_flaxseeds_metric.0	dozeFlaxseeds.Serving.metric.0	1 tablespoon ground	1 ч.л. меленого		
food_info_types_flaxseeds.0	dozeFlaxseeds.Variety.Text.0	Brown flaxseeds	Льон коричневий		
food_info_types_flaxseeds.1	dozeFlaxseeds.Variety.Text.1	Golden flaxseeds	Льон золотий (білий)		
other_fruits	dozeFruitsOther.heading	Other Fruits	Інші фрукти	heading for daily data entry item	
food_info_serving_sizes_other_fruits_imperial.0	dozeFruitsOther.Serving.imperial.0	1 medium-sized fruit	1 фрукт середнього розміру		
food_info_serving_sizes_other_fruits_imperial.1	dozeFruitsOther.Serving.imperial.1	1 cup cut-up fruit	1 чашка нарізаних фруктів		
food_info_serving_sizes_other_fruits_imperial.2	dozeFruitsOther.Serving.imperial.2	¼ cup dried fruit	¼ чашка сухофруктів		
food_info_serving_sizes_other_fruits_metric.0	dozeFruitsOther.Serving.metric.0	1 medium-sized fruit	1 фрукт середнього розміру		
food_info_serving_sizes_other_fruits_metric.1	dozeFruitsOther.Serving.metric.1	150 g cut-up fruit	150 г нарізаних фруктів		
food_info_serving_sizes_other_fruits_metric.2	dozeFruitsOther.Serving.metric.2	40 g dried fruit	40 г сухофруктів		
food_info_types_other_fruits.0	dozeFruitsOther.Variety.Text.0	Apples	Яблука		
food_info_types_other_fruits.1	dozeFruitsOther.Variety.Text.1	Apricots	Абрикоси		
food_info_types_other_fruits.2	dozeFruitsOther.Variety.Text.2	Avocados	Авокадо		
food_info_types_other_fruits.3	dozeFruitsOther.Variety.Text.3	Bananas	Банани		
food_info_types_other_fruits.4	dozeFruitsOther.Variety.Text.4	Cantaloupe	Диня Канталупа		
food_info_types_other_fruits.5	dozeFruitsOther.Variety.Text.5	Clementines	Мандарини клементини		
food_info_types_other_fruits.6	dozeFruitsOther.Variety.Text.6	Dates	Фініки		
food_info_types_other_fruits.7	dozeFruitsOther.Variety.Text.7	Figs	Інжир		
food_info_types_other_fruits.8	dozeFruitsOther.Variety.Text.8	Grapefruit	Грейпфрут		
food_info_types_other_fruits.9	dozeFruitsOther.Variety.Text.9	Honeydew	Медова диня		
food_info_types_other_fruits.10	dozeFruitsOther.Variety.Text.10	Kiwifruit	Ківі		
food_info_types_other_fruits.11	dozeFruitsOther.Variety.Text.11	Lemons	Лимони		
food_info_types_other_fruits.12	dozeFruitsOther.Variety.Text.12	Limes	Лайми		
food_info_types_other_fruits.13	dozeFruitsOther.Variety.Text.13	Lychees	Лічі		
food_info_types_other_fruits.14	dozeFruitsOther.Variety.Text.14	Mangos	Манго		
food_info_types_other_fruits.15	dozeFruitsOther.Variety.Text.15	Nectarines	Нектарини		
food_info_types_other_fruits.16	dozeFruitsOther.Variety.Text.16	Oranges	Апельсини		
food_info_types_other_fruits.17	dozeFruitsOther.Variety.Text.17	Papaya	Папая		
food_info_types_other_fruits.18	dozeFruitsOther.Variety.Text.18	Passion fruit	Маракуя		
food_info_types_other_fruits.19	dozeFruitsOther.Variety.Text.19	Peaches	Персики		
food_info_types_other_fruits.20	dozeFruitsOther.Variety.Text.20	Pears	Груші		
food_info_types_other_fruits.21	dozeFruitsOther.Variety.Text.21	Pineapple	Ананас		
food_info_types_other_fruits.22	dozeFruitsOther.Variety.Text.22	Plums (especially black plums)	Сливи (особливо чорна)		
food_info_types_other_fruits.23	dozeFruitsOther.Variety.Text.23	Pluots	Плумкот		
food_info_types_other_fruits.24	dozeFruitsOther.Variety.Text.24	Pomegranates	Гранати		
food_info_types_other_fruits.25	dozeFruitsOther.Variety.Text.25	Prunes	Чорнослив		
food_info_types_other_fruits.26	dozeFruitsOther.Variety.Text.26	Tangerines	Танжерини		
food_info_types_other_fruits.27	dozeFruitsOther.Variety.Text.27	Watermelon	Кавун		
greens	dozeGreens.heading	Greens	Зелень	heading for daily data entry item	
food_info_serving_sizes_greens_imperial.0	dozeGreens.Serving.imperial.0	1 cup raw	1 чашка в сирому вигляді		
food_info_serving_sizes_greens_imperial.1	dozeGreens.Serving.imperial.1	½ cup cooked	½ чашки в приготованому вигляді		
food_info_serving_sizes_greens_metric.0	dozeGreens.Serving.metric.0	60 g raw	60 г сирої		
food_info_serving_sizes_greens_metric.1	dozeGreens.Serving.metric.1	90 g cooked	90 г приготованої		
food_info_types_greens.0	dozeGreens.Variety.Text.0	Arugula	Рукола		
food_info_types_greens.1	dozeGreens.Variety.Text.1	Beet greens	Бурякове бадилля		
food_info_types_greens.2	dozeGreens.Variety.Text.2	Collard greens	Листова капуста		
food_info_types_greens.3	dozeGreens.Variety.Text.3	Kale (black, green, and red)	Капуста Кейл (темна, зелена, червона)		
food_info_types_greens.4	dozeGreens.Variety.Text.4	Mesclun mix (assorted young salad greens)	Месклун (суміш молодих салатів)		
food_info_types_greens.5	dozeGreens.Variety.Text.5	Mustard greens	Листова гірчиця		
food_info_types_greens.6	dozeGreens.Variety.Text.6	Sorrel	Щавель		
food_info_types_greens.7	dozeGreens.Variety.Text.7	Spinach	Шпинат		
food_info_types_greens.8	dozeGreens.Variety.Text.8	Swiss chard	Мангольд		
food_info_types_greens.9	dozeGreens.Variety.Text.9	Turnip greens	Зелень ріпи		
nuts	dozeNuts.heading	Nuts and Seeds	Горіхи та насіння	heading for daily data entry item	
food_info_serving_sizes_nuts_imperial.0	dozeNuts.Serving.imperial.0	¼ cup nuts or seeds	¼ чашки горіхів чи насіння		
food_info_serving_sizes_nuts_imperial.1	dozeNuts.Serving.imperial.1	2 tablespoons nut or seed butter	2 ст.л. горіхової пасти чи пасти з насіння		
food_info_serving_sizes_nuts_metric.0	dozeNuts.Serving.metric.0	30 g nuts or seeds	30 г горіхів чи насіння		
food_info_serving_sizes_nuts_metric.1	dozeNuts.Serving.metric.1	2 tablespoons nut or seed butter	2 ст.л. горіхової пасти чи пасти з насіння		
food_info_types_nuts.0	dozeNuts.Variety.Text.0	Almonds	Мигдаль		
food_info_types_nuts.1	dozeNuts.Variety.Text.1	Cashews	Кеш'ю		
food_info_types_nuts.2	dozeNuts.Variety.Text.2	Chia seeds	Насіння Чіа		
food_info_types_nuts.3	dozeNuts.Variety.Text.3	Hazelnuts	Ліщина		
food_info_types_nuts.4	dozeNuts.Variety.Text.4	Hemp seeds	Насіння конопель		
food_info_types_nuts.5	dozeNuts.Variety.Text.5	Macadamia nuts	Горіхи макадамії		
food_info_types_nuts.6	dozeNuts.Variety.Text.6	Peanuts	Арахіс		
food_info_types_nuts.7	dozeNuts.Variety.Text.7	Pecans	Горіхи пекан		
food_info_types_nuts.8	dozeNuts.Variety.Text.8	Pistachios	Фісташки		
food_info_types_nuts.9	dozeNuts.Variety.Text.9	Pumpkin seeds	Гарбузове насіння		
food_info_types_nuts.10	dozeNuts.Variety.Text.10	Sesame seeds	Насіння кунжуту		
food_info_types_nuts.11	dozeNuts.Variety.Text.11	Sunflower seeds	Соняшникове насіння		
food_info_types_nuts.12	dozeNuts.Variety.Text.12	Walnuts	Волоські горіхи		
OK	dozeOtherInfo.confirm	OK	ОК	Daily Dozen supplement info alert: dismissal button text	
	dozeOtherInfo.message	Vitamin B12 is essential for your health but does not count towards your daily servings.\n\nVitamin B12 is included in this app to provide you with an easy way to track your intake.	Вітамін В12 надзвичайно важливий для твого здоров'я, але він не включений до решти щоденних порцій.\n\n Вітамін В12 доданий до цього застосунку для того щоб тобі було легше відслідковувати його вживання.	Daily Dozen supplement info alert: message	
	dozeOtherInfo.section	Supplements	БАДи	Daily Dozen daily entry section heading	
	dozeOtherInfo.title	Supplements	БАДи	Daily Dozen supplement info alert: title	
spices	dozeSpices.heading	Herbs and Spices	Трави та спеції	heading for daily data entry item	
food_info_serving_sizes_spices_imperial.0	dozeSpices.Serving.imperial.0	¼ teaspoon of turmeric	¼ ч.л. куркуми		
food_info_serving_sizes_spices_imperial.1	dozeSpices.Serving.imperial.1	Any other (salt-free) herbs and spices you enjoy	Будь-які інші трави та спеції (за винятком солі), що тобі до вподоби		
food_info_serving_sizes_spices_metric.0	dozeSpices.Serving.metric.0	¼ teaspoon of turmeric	¼ ч.л. куркуми		
food_info_serving_sizes_spices_metric.1	dozeSpices.Serving.metric.1	Any other (salt-free) herbs and spices you enjoy	Будь-які інші трави та спеції (за винятком солі), що тобі до вподоби		
food_info_types_spices.0	dozeSpices.Variety.Text.0	Allspice	Духмяний перець		
food_info_types_spices.1	dozeSpices.Variety.Text.1	Barberries	Барбарис		
food_info_types_spices.2	dozeSpices.Variety.Text.2	Basil	Базилік		
food_info_types_spices.3	dozeSpices.Variety.Text.3	Bay leaves	Лавровий лист		
food_info_types_spices.4	dozeSpices.Variety.Text.4	Cardamom	Кардамон		
food_info_types_spices.5	dozeSpices.Variety.Text.5	Chili powder	Перець чилі мелений		
food_info_types_spices.6	dozeSpices.Variety.Text.6	Cilantro	Кінза		
food_info_types_spices.7	dozeSpices.Variety.Text.7	Cinnamon	Кориця		
food_info_types_spices.8	dozeSpices.Variety.Text.8	Cloves	Гвоздика		
food_info_types_spices.9	dozeSpices.Variety.Text.9	Coriander	Коріандр		
food_info_types_spices.10	dozeSpices.Variety.Text.10	Cumin	Кмин		
food_info_types_spices.11	dozeSpices.Variety.Text.11	Curry powder	Карі мелений		
food_info_types_spices.12	dozeSpices.Variety.Text.12	Dill	Кріп		
food_info_types_spices.13	dozeSpices.Variety.Text.13	Fenugreek	Пажитник		
food_info_types_spices.14	dozeSpices.Variety.Text.14	Garlic	Часник		
food_info_types_spices.15	dozeSpices.Variety.Text.15	Ginger	Імбир		
