key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Відслідковуй продукти харчування, рекомендовані доктором Майклом Грегером в його книзі “Як не померти передчасно”, що стала бестселером за версією  New York Times, а тепер ще і в його новій книзі “How Not to Diet (Як не сидіти дієті)”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Функція 21 Хитрість, заснована на книзі “Як не сидіти на дієті”, також надає трекер для контроля ваги. Трекер Ваги може використовувати застосунок “Здоров'я”, щоб зберігати в ньому дані, введені вручну, або щоб читати дані ваги із таблиць в застосунку “Здоров'я”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	За роки досліджень, що знадобилися аби створити більше ніж тисячу науково обгрунтованих відео роликів на своєму сайті NutritionFacts.org, Майкл Грегер, доктор медичних наук, член Американського Коледжу Медицини Способу Життя, створив список найважливіших на його думку продуктів харчування, що потрібно включати у щоденний раціон.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Застосунок доктора Грегера Денна Дюжина надає детальну інформацію про найкорисніші продукти харчування та розмір порцій кожного з них, що має бути в щоденному раціоні. Деталі пояснення можна знайти в його книзі “Як не померти передчасно”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Весь прибуток з продажу його книг, DVD та публічних виступів спрямовується на благодіність.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org - це некомерційний, заснований на останніх наукових дослідженнях суспільний сервіс, наданий доктором Грегером, який ділиться щоденним обзором найновіших досліджень в області хаочування у вигляді коротких відео. У доктора Грегера є близько тисячі відео присвячених всім аспектам здорового харчування. Нові відео та статті публікуються кожного дня.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Як і цей застосунок, вся інформація на веб-сайті безкоштовна і не містить реклами.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Щоб обрати мову застосунку, вам потрібно встановити IOS версію 13 або новіше.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Ознайомтесь з новою функцією застосунку Дюжина доктора Грегера! Вона включає 21 Хитрість із нової книги “Як не сидіти на дієті”.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Дюжина доктора Грегера	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Додана мовна підтримка Українська.	Replace language_name_here with the translated language name for this translation.	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Додана підтримка для Темного Режиму.	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Додана підтримка імпорту даних історії.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	Загальні покращення якості програмного забезпечення.	What's New Item	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	веган, харчування, їжа, вегетаріанський, здоров'я, здоровий		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Їжте. Відслідковуйте. Повторюйте. Не потрібно рахувати калорії та макронутрієнти.		
store_screen.1	store_screen.1	All for free!	Все безкоштовно!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Їжте смачні страви, що включають продукти із Дюжини доктора Грегера.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Відслідковуй свої щоденні порції в застосунку.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Повторюй до тих пір, поки здорове харчування не стане твоєю другою натурою.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	Дюжина доктора Грегера повинна бути включена у твій щоденний раціон, якщо твоя мета - здоров’я у довгостроковій перспективі. Завантажуй вже сьогодні!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Дюжина доктора Грегера детально описує найкорисніші продукти та яку їхню кількість порцій, яку ми повинні вживати щодня. Всі ці продукти були згадані в його книзі «Як не померти передчасно» — а тепер вона ще й включає 21 Хитрість з його книги «Як не сидіти на дієті» — або поради, що допомагають максимізувати наші природні можливості спалювання жиру.	Use language-applicable quotation marks for book titles.	
android_store_description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	Усі доходи від книг, DVD-дисків і виступів передаються на благодійність.		
android_store_description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org — це некомерційна, неприбуткова організація, заснована доктором Грегером, що поширює науково обґрунтовані факти із широкою публікою. На веб-сайті організації щоденно з'являються безкоштовні відео з останніх досліджень у галузі харчування. У доступі вже є майже тисяча відео про всі аспекти здорового харчування, а нові відео та статті завантажуються щодня. Як і в цьому застосунку, все на веб-сайті не містить реклами та є безкоштовним.		
android_store_whatsnew		Adds language support for language_name_here.	Додана мовна підтримка Українська.	Replace language_name_here with the translated language name for this translation.	
