# TweakMap mapTweakChecklistHeadings
# ///  IN: <string name="meal_water">Preload with Water</string>
# /// OUT: *.xliff --> Localizable.strings
# /// Note: same as tweaks checklist headings // :!!!:NYI: full vs. brief headings
DROID	APPLE	ACTION	COMMENT
#
meal_water	tweakMealWater.heading		// :!!!: iOS key?
meal_negcal	tweakMealNegCal.heading		
meal_vinegar	tweakMealVinegar.heading		
meal_undistracted	tweakMealUndistracted.heading		
meal_twentyminutes	tweakMeal20Minutes.heading		
daily_blackcumin	tweakDailyBlackCumin.heading		
daily_garlic	tweakDailyGarlic.heading		
daily_ginger	tweakDailyGinger.heading		
daily_nutriyeast	tweakDailyNutriYeast.heading		
daily_cumin	tweakDailyCumin.heading		
daily_greentea	tweakDailyGreenTea.heading		
daily_hydrate	tweakDailyHydrate.heading		
daily_deflourdiet	tweakDailyDeflourDiet.heading		
daily_frontload	tweakDailyFrontLoad.heading		
daily_timerestrict	tweakDailyTimeRestrict.heading		
exercise_timing	tweakExerciseTiming.heading		
weigh_twice	tweakWeightTwice.heading		
complete_intentions	tweakCompleteIntentions.heading		
nightly_fast	tweakNightlyFast.heading		
nightly_sleep	tweakNightlySleep.heading		
nightly_trendelenburg	tweakNightlyTrendelenbrug.heading		

