# TweakMap mapTweakDetailsShort
# ///  IN: <string name="meal_water_short">Preload with Water</string>
# /// OUT: TweakDetails.json
# /// Note: Details "Activity" summary segments
DROID	APPLE	ACTION	COMMENT
#
meal_water_short	tweakMealWater.activity		
meal_negcal_short	tweakMealNegCal.activity		
meal_vinegar_short	tweakMealVinegar.activity		
meal_undistracted_short	tweakMealUndistracted.activity		
meal_twentyminutes_short	tweakMeal20Minutes.activity		
daily_blackcumin_short	tweakDailyBlackCumin.activity		
daily_garlic_short	tweakDailyGarlic.activity		
daily_ginger_short	tweakDailyGinger.activity		
daily_nutriyeast_short	tweakDailyNutriYeast.activity		
daily_cumin_short	tweakDailyCumin.activity		
daily_greentea_short	tweakDailyGreenTea.activity		
daily_hydrate_short	tweakDailyHydrate.activity		
daily_deflourdiet_short	tweakDailyDeflourDiet.activity		
daily_frontload_short	tweakDailyFrontLoad.activity		
daily_timerestrict_short	tweakDailyTimeRestrict.activity		
exercise_timing_short	tweakExerciseTiming.activity		
weigh_twice_short	tweakWeightTwice.activity		
complete_intentions_short	tweakCompleteIntentions.activity		
nightly_fast_short	tweakNightlyFast.activity		
nightly_sleep_short	tweakNightlySleep.activity		
nightly_trendelenburg_short	tweakNightlyTrendelenbrug.activity		
#
