# TweakMap mapTweakDetailsText
# ///  IN: <string name="meal_water_text">Time your metabolism-boosting two…</string>
# /// OUT: TweakDetails.json
# /// Note: Details "Description" text segments
DROID	APPLE	ACTION	COMMENT
#
meal_water_text	tweakMealWater.description		
meal_negcal_text	tweakMealNegCal.description		
meal_vinegar_text	tweakMealVinegar.description		
meal_undistracted_text	tweakMealUndistracted.description		
meal_twentyminutes_text	tweakMeal20Minutes.description		
daily_blackcumin_text	tweakDailyBlackCumin.description		
daily_garlic_text	tweakDailyGarlic.description		
daily_ginger_text	tweakDailyGinger.description		
daily_nutriyeast_text	tweakDailyNutriYeast.description		
daily_cumin_text	tweakDailyCumin.description		
daily_greentea_text	tweakDailyGreenTea.description		
daily_hydrate_text	tweakDailyHydrate.description		
daily_deflourdiet_text	tweakDailyDeflourDiet.description		
daily_frontload_text	tweakDailyFrontLoad.description		
daily_timerestrict_text	tweakDailyTimeRestrict.description		
exercise_timing_text	tweakExerciseTiming.description		
weigh_twice_text	tweakWeightTwice.description		
complete_intentions_text	tweakCompleteIntentions.description		
nightly_fast_text	tweakNightlyFast.description		
nightly_sleep_text	tweakNightlySleep.description		
nightly_trendelenburg_text	tweakNightlyTrendelenbrug.description		
#
